id;nom_fr;nom_ar;categorie_fr;categorie_ar;categorie_id
1;alarm black Ergonomic;b customized;b;Steel Concrete matrix;1
2;Concrete cross-platform Bedfordshire;scalable Money Granite;Lepic;Sierra;2
3;Caribbean;b;Ball IB;convergence;3
4;Loan channels azure;Venezuela;SAS Concrete architectures;c Avon;4
5;Credit encoding;a;deposit interface SAS;Steel;5
6;Pizza reboot Home;sensor card optimal;Borders Yémen Designer;relationships;6
7;software dynamic;b;Corse;Keyboard Unbranded;7
8;application;yellow a;Incredible;Macédoine;8
9;c Plastic Borders;Cotton;Cotton a;Baby des;9
10;Awesome Granite;Loan;Rufiyaa Ingenieur;redundant Investment Fantastic;10
