id;url;libelle;image;image_content_type
1;https://médéric.eu;Botswana Directeur;../fake-data/blob/hipster.png;image/png
2;http://lorraine.net;9(E.U.A.-9) a;../fake-data/blob/hipster.png;image/png
3;http://anthelmette.com;Avon Pakistan;../fake-data/blob/hipster.png;image/png
4;https://alix.info;Rustic withdrawal 1080p;../fake-data/blob/hipster.png;image/png
5;http://aristide.name;Tasty Rhône-Alpes Savings;../fake-data/blob/hipster.png;image/png
6;http://marcel.org;a;../fake-data/blob/hipster.png;image/png
7;http://agnan.org;b;../fake-data/blob/hipster.png;image/png
8;http://roger.org;Berkshire olive;../fake-data/blob/hipster.png;image/png
9;http://gabin.eu;Cheese;../fake-data/blob/hipster.png;image/png
10;http://alaïs.info;payment;../fake-data/blob/hipster.png;image/png
