id;code_reg;code_prov;nom_fr;nom_ar;region_fr;region_ar;geometry;region_id
1;87776;90414;connect Buckinghamshire Dollar;d'Argenteuil back b;value-added facilitate payment;Naira;navigate IB;1
2;21579;87279;Chaussée-d'Antin b;Robust Lepic;payment;networks bypassing Haute-Normandie;Won PCI;2
3;28318;11794;Practical Electronics revolutionize;a Account Champagne-Ardenne;Architecte Investment Papouasie-Nouvelle-Guinée;invoice;uniform;3
4;61357;53243;leverage fault-tolerant circuit;FTP b;Cambridgeshire;fault-tolerant Hat;Intuitive;4
5;38369;10241;digital Centralized disintermediate;b Frozen Unbranded;neural Boétie Up-sized;Poitou-Charentes;paradigm facilitate Alsace;5
6;80978;89530;optical;Handcrafted Practical;withdrawal Plastic;auxiliary optimize b;Shirt copying;6
7;10043;71165;lime;deposit programming IB;Concrete;strategize Savings;haptic;7
8;22340;39272;Expanded hack;calculate maroon;Mouse;Account Directeur;maroon c Refined;8
9;79796;37382;reciprocal;bi-directional Bedfordshire ivory;Specialiste;c;IB deploy solutions;9
10;90077;62634;generating utilize;Saint-Bernard Haute-Normandie Optional;Diverse;Specialiste local Rubber;deploy;10
