id;code_reg;nom_fr;nom_ar;geometry
1;39925;driver paradigms Plastic;knowledge c;users
2;27633;Soap;Saint-Honoré;methodical
3;64057;Computer Baby PNG;Auvergne;b Soft transmitting
4;16813;optical;d'Azur Small;d'Assas a
5;44185;vortals Diverse Coordinateur;bandwidth radical;calculate Moldavie
6;65451;engage;zero;pixel
7;41672;payment;virtual Royaume-Uni up;Auvergne Basse-Normandie
8;53789;backing Wooden Bedfordshire;Borders;c
9;88492;visionary;b Savings mobile;green mobile
10;16446;users;Bedfordshire;Cambridgeshire b Ball
